employee_name,user_id,O,C,E,A,N,mapped_id,night_logons,total_email_size,usb_count
Calvin Edan Love,CEL0561,40,39,36,19,40,MNP0955,0.0,0.0,0.0
Christine Reagan Deleon,CRD0624,26,22,17,39,32,ATM1615,5.0,0.0,170.0
Jade Felicia Caldwell,JFC0557,22,16,23,40,33,HNM3405,85.0,0.0,385.0
Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,RJB2622,0.0,0.0,0.0
Micah Abdul Rojas,MAR0955,36,44,23,44,25,MHB0845,0.0,0.0,0.0
Gail Rhiannon Mcconnell,GRM0868,21,25,20,13,28,HMC0592,0.0,0.0,0.0
April Alika Levy,AAL0706,37,14,28,13,25,LJE2413,0.0,0.0,0.0
Rama Vielka Clayton,RVC0232,34,20,47,38,25,DRB0202,0.0,0.0,0.0
Tasha Casey Dalton,TCD0009,44,28,44,38,23,AKC0924,0.0,91247046.0,0.0
Aurora Sarah Manning,ASM0575,42,25,21,45,30,JUL1835,0.0,0.0,0.0
Devin Abdul Rogers,DAR0885,43,43,44,41,25,SMS1114,0.0,0.0,0.0
Jacqueline Latifah Miles,JLM0364,35,22,15,25,37,RCL0068,0.0,0.0,0.0
Ferris Omar Barry,FOB0756,42,41,34,20,27,YYD3518,0.0,0.0,0.0
Grant Camden Gay,GCG0951,33,33,25,19,44,JRL2365,0.0,0.0,0.0
Howard Wing Yang,HWY0038,47,39,40,22,24,AAV0450,0.0,10114211.0,0.0
Aspen Amber Vinson,AAV0450,44,24,36,41,33,LOF3279,0.0,0.0,0.0
Colorado John Valentine,CJV0286,18,14,17,13,26,SHB2106,0.0,0.0,0.0
Tyrone Damian Garner,TDG0962,42,40,36,26,21,JNP1240,0.0,0.0,118.0
Stephanie Victoria Lyons,SVL0803,27,35,20,36,32,WSA1765,955.0,0.0,1006.0
Quynn Odessa Sanford,QOS0878,18,12,20,16,29,JAF0209,88.0,0.0,0.0
Melyssa Deirdre Morgan,MDM0625,18,42,36,27,24,ZWS3625,0.0,0.0,0.0
Gray Mason Fulton,GMF0738,30,40,45,20,18,RLG0856,0.0,147604954.0,0.0
Bianca Elizabeth Roach,BER0314,23,20,18,19,32,HLC0943,0.0,0.0,0.0
Aurelia Martina Reese,AMR0400,19,16,47,28,28,AME1361,0.0,0.0,0.0
Yardley Cairo Elliott,YCE0983,39,21,42,30,36,HMR0098,90.0,0.0,173.0
Blaine Jelani Weeks,BJW0619,30,43,47,21,39,KAL1210,0.0,0.0,0.0
Delilah Pearl Schneider,DPS0262,20,25,20,14,32,PEB3768,0.0,0.0,0.0
TaShya Yoko Bailey,TYB0779,24,20,35,36,34,MRH2722,0.0,0.0,0.0
Melissa Ava Stuart,MAS0025,23,14,20,21,23,GCD1189,0.0,0.0,0.0
Kermit Beau Leach,KBL0260,16,15,48,16,32,CPT1533,0.0,0.0,0.0
Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,JJL1448,0.0,0.0,0.0
Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,CRP3682,60.0,0.0,390.0
Heather Cynthia Leonard,HCL0651,21,19,44,36,33,GNE1365,39.0,0.0,0.0
Shannon Chantale Price,SCP0130,42,18,35,32,24,FES3442,0.0,0.0,0.0
Castor Mark Wolf,CMW0783,21,35,14,16,26,CSP0197,0.0,110484077.0,0.0
Ryan Kelly Frost,RKF0164,40,42,17,18,42,JVB3184,0.0,0.0,0.0
Damian Omar Le,DOL0332,32,40,41,18,24,AGS2462,0.0,0.0,0.0
Robert Samuel Chen,RSC0089,41,26,35,21,29,UAD2700,0.0,0.0,0.0
Cailin Casey Mckee,CCM0136,16,16,39,40,29,AHH0495,0.0,0.0,0.0
